PROP_NAME,LOCALITY,Micromarket,Assignment,,,,
Gaur Green Avenue,"Abhay Khand 2, Ghaziabad",Ghaziabad,,,,,
Arihant Altura,"Abhay Khand 2, Ghaziabad",Ghaziabad,,,,,
ATS Advantage,"Ahinsa Khand 1, Ghaziabad",Indirapuram,,,,,Central Noida
ABA Corp Orange County,"Ahinsa Khand 1, Ghaziabad",Indirapuram,,,,,Sohna Road
Jaipurias Sunrise Greens,"Ahinsa Khand 1, Ghaziabad",Indirapuram,,,,,Dwarka Expressway
Shipra Krishna Vista,"Ahinsa Khand 1, Ghaziabad",Indirapuram,,,,,New Gurgaon
Shipra Srishti,"Ahinsa Khand 1, Ghaziabad",Indirapuram,,,,,Noida Extension
Rajhans Premier Apartment,"Ahinsa Khand 1, Ghaziabad",Indirapuram,,,,,Golf Course Extension
Trine Towers,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,Noida Expressway
Niho Scottish Garden,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,Central Gurgaon
Angel Jupiter,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,SPR
Apex D Rio,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,Crossings Republik
Exotica Elegance,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,Raj Nagar Ext
Nirala Eden Park,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,Golf Course Road
Ashiana Upvan,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,NH24
Divyansh Pratham,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,Indirapuram
Saya Zenith,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,
Rishabh Iris Tower,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,
Saya Desire Residency,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,
Shri Ram Residency,"Ahinsa Khand 2, Ghaziabad",Ghaziabad,,,,,
