ENGAGEMENT MECHANICS — v4,,,,
,,,,
Engagement = HQ Calling Team (Adiksha)  |  Field = Offline (Rajnish),,,,
,,,,
1. CP TIER & FREQUENCY,,,,
Tier,Definition,Frequency,Channel,Owner
Hot,≥2 visits last 7d,Daily,Call + WhatsApp,HQ Engagement (zone)
Warm,1 visit last 14d,2× week,Call + WhatsApp,HQ Engagement (zone)
Cold-Active,≥1 visit last 30d,Weekly,Call + WhatsApp,HQ Engagement (zone)
Stopped (reactivating),No visit 60d,2× week × 2 weeks,Call + visit,Reachout team
Never Active,No visit ever,Weekly to 60d,Call + WhatsApp,Reachout team
,,,,
2. QUALITY OF DISCUSSION,,,,
Touch,Topic,Output expected,,
Daily WhatsApp broadcast,3 hot units + 1 price drop + new listings,Click-through; CP shares with buyers,,
Weekly call (HQ rep),"""Which 2 buyers do you have? Match these 3 units.""",≥1 visit scheduled,,
Inventory update push,New listing in CP's MM <24h of KH,CP knows before MagicBricks/99acres,,
Visit follow-up (AVFU),"<4h of OTP, log buyer intent + next step",AVFU ≥95% Status-filled,,
Hot-buyer escalation,AVFU = Hot → Closer takes over same-day,Meeting scheduled <48h,,
,,,,
3. RATIOS,Current,June target,,
