WEEKLY MILESTONES — May 22-31 (pre-plan) + June 2026 (v4),,,,,
,,,,,
MAY 22-31 PRE-PLAN SPRINT (HIRING + PLANNING ONLY — team continues May targets),,,,,
Action,Owner,Deadline,Status,,
"Post JDs: 2 Gha Closers, 10 HQ Eng, 2 Reachout, 3 Direct",HR + Manish,May 23,,,
Interview pipeline (target 30 candidates total),Manish + Adiksha + Rajnish,May 28,,,
Confirm Rajnish lead pipeline + city splits,Manish + Rajnish,May 24,,,
Marketing: ramp Instagram + paid ads to deliver 400-500 leads/mo,Marketing team + Rajnish,May 28,,,
Build daily dashboard with funnel KPIs (June MAU tracker),Akshit,May 26,,,
Owner conversations on 23 aged 60+d properties (case-by-case markdown),Manish + Pricing,June 5,,,
Train current team on new operating model + role transitions,Manish + Adiksha + Rajnish,May 30,,,
"Lock zone assignments (HQ Engagement reps to city books, Field reps to micromarkets)",Adiksha + Rajnish,May 30,,,
LSQ Status field made required for AVFU,Akshit,May 25,,,
Set up WhatsApp daily review group (Manish/Akshit/Rajnish/Ankit),Manish,May 22,,,
,,,,,
JUNE WEEKLY MILESTONES (cumulative),,,,,
Week,Dates,Visits,Meetings,Bookings,Cumulative Bk
W1,Jun 1-7,589,18,7,7
W2,Jun 8-14,736,30,11,18
W3,Jun 15-21,825,35,14,31
W4,Jun 22-30,795,35,14,45
