RISKS & SENSITIVITIES — June 45 plan (v4),,,,
,,,,
Risk,Likelihood,Impact,Mitigation,
"Ghaziabad CP growth (51 → 159, 3.1× in 30d)",High,−5 to −7 bookings,2 Gha closers; Reachout rep dedicated to Gha; consider lower target,
Marketing can't ramp direct leads (need 400-500/mo from <100),High,−5 bookings,Paid ads ramp May 22; 99acres listing surge,
Visit → Meeting stays at 1-2%,High,−15 to −25 bookings,Office-meeting culture; force-route Hot AVFUs; closer pull,
Meeting → Booking stays 25-28%,Medium,−5 to −10 bookings,Closer selection bar; token-on-spot; doc readiness,
Visits/CP doesn't lift past 2.8,Medium,−5 to −8 bookings,"Weekly cycle, daily WhatsApp, hot-property alerts",
June MAU retention <85% from current 2mo,Medium,−3 to −5 bookings,Engagement rigour starting June 1; daily WA broadcast,
Booking → ATS leak,High,"Revenue, not bookings",Legal 7d SLA; pre-onboard buyer docs at meeting,
Aged inventory (23 props 60+d) not unlocked,Medium,−3 to −5 bookings,Case-by-case owner conversation by Jun 5,
Hiring 17+ people in 9 days,Medium,Slip on June 1 ramp,Start May 22; HR full focus; pre-screen candidates,
Attrition: 3-5 existing leave June,Certain,Bench gap,4-buffer in hiring plan; succession sketched,
,,,,
SENSITIVITY 1 — Bookings at varying V→M × M→B,,,,
V→M \ M→B,25%,30%,38% (plan),45%
3% (88 mt),22,27,34,40
"4% (118 mt, plan)",29,35,45,53
5% (147 mt),37,44,56,66
6% (177 mt),44,53,67,80
,,,,
