BROKER TIER BENEFITS — what we offer Gold / Silver brokers,,,,
"Per latest whiteboard. Tier 1 = Gold (125 brokers), Tier 2 = Silver (125 brokers). Edit any cell in the matrix below as policy evolves.",,,,
,,,,
BENEFIT MATRIX,,,,
Benefit,Tier 1 (Gold),Tier 2 (Silver),Standard (everyone else),Notes / How to operationalize
Higher Brokerage (vs market),#ERROR!,#ERROR!,Standard rate,Top monetary differentiator. Communicate as 'OH Tier 1 / Tier 2 brokerage premium'.
Commission Paid at ATS,50% at ATS + 50% at Registry,25% at ATS + 75% at Registry,100% at Registry,"Faster payout cycle. ATS = Agreement to Sell, usually 30 days before registry. Tier 1 gets 2× the early payout of Tier 2."
Listing Reimbursement,Yes — full reimbursement,Yes — full reimbursement,No,OH reimburses portal listing fees (99acres / MagicBricks / Housing.com) for OH inventory the broker posts. Removes the ₹3K–10K/month broker cost barrier.
Tech / Product / Marketing Support,Yes — premium tier,Yes — standard tier,No,"CRM access, branded marketing collateral (brochures, reels, photo packs), lead-routing software, regular training sessions, performance dashboards."
Upcoming Inventory Info,Yes — early access,Yes — early access,Public listing only,Both tiers get advance notice of new OH inventory before public listing on portals. Differentiator: Tier 1 can be given 48h window vs Tier 2 24h — currently set equal per whiteboard.
,,,,
,,,,
NOT OFFERED (decision audit),,,,
Item,Status,Reason,,
Direct Leads (OH-sourced),Removed from previous draft,Not on the latest whiteboard. Likely reserved for OH's own buyer-relationship managers.,,
Dedicated Relationship Manager (named RM),Removed from previous draft,"Replaced by 'Tech / Product / Marketing Support' as a broader, scalable enablement layer.",,
"Monthly Retainer (₹10,000 per Tier 1 broker)",Removed from previous draft,Dropped — moved towards listing-reimbursement + ATS-staged payout instead of unconditional retainer.,,
Revenue / Profit sharing / Landing fee,"Considered, NOT offered",Struck out on an earlier whiteboard — likely too complex / margin pressure.,,
,,,,
,,,,
ECONOMICS — INDICATIVE COSTING,,,,
