TIER 1 + TIER 2 CP ENGAGEMENT PLAN — Final (decisions from May 27 meeting),,,,,,
"Source: Demand plan meeting (May 27 — Akshit Chaudhary). Supersedes tab 19 where they differ. Tier 1 = Gold (125 brokers). Tier 2 = Silver (125 brokers). Tier 3 = Inactive / Dormant (rest of ~4,500 CPs).",,,,,,
,,,,,,
SECTION 1 — STRATEGY & WHY,,,,,,
,,,,,,
Theme,What it means,,,,,
Goal,"Convert top-performing CPs to a high-engagement, eventually-exclusive partnership.",,,,,
Why these tiers,Already 40-50% of business comes from this group. Lifting their per-broker visit cadence from ~7 → 8 unlocks meaningful upside.,,,,,
Long-term vision,"Tier 1 CPs move towards exclusivity (broking only / primarily for OH). This is a journey, not a Day-1 ask.",,,,,
Engagement principle,"Product-driven, not call-driven. Brokers should adopt the OH app + WhatsApp flow for follow-ups; reduce intrusive calling.",,,,,
Reward principle,"From now on, every new reward / offer opens to Tier 1 first, then Tier 2, then the rest. No more universal 'discount-to-all' that gets negotiated down to 0.",,,,,
,,,,,,
,,,,,,
SECTION 2 — TIER DEFINITIONS & COUNTS,,,,,,
,,,,,,
Tier,Label,Gurgaon,Noida,Ghaziabad,Total,Qualifying criteria
Tier 1,Gold,50,50,25,125,"Consistent 3+ completed visits per month across Mar+Apr+May 2026, OR done a transaction with us, OR max recent-3-month visits."
Tier 2,Silver,50,50,25,125,Same priority order as Tier 1 but lower volume; promotable to Tier 1 on sustained performance.
Tier 3,Inactive / Dormant,—,—,—,"~4,250",Onboarded CPs who are not consistent. Still receive base support; not part of high-touch engagement loop.
,,,,,,
,,,,,,
